Element,Count
b'w\xa9\x9a\x0b',15144
b'c9\xbbm',15143
b'c9\xbbx',15110
b'c9\xbbe',15045
b'h\xa7\xcfX',15039
b'c9\xbbk',14973
b'jT&\xfb',14873
b'oH\x93\xb5',14787
"b""jT'n""",14571
b'\xb7\xdaIP',14489
b'c9\xbbn',14461
b'\x87n\xcd\x9d',14449
b'jZf\xda',14388
b'+\x8bb\x88',14380
b'm\x93\x08o',14379
b'c9\xbbK',14316
b'm\x93\x08C',14314
b'7}0\xfe',14307
b'p\x7f\xe9\x17',14284
b'\x8e\x88\x8bu',14272
b'c9\xbbg',14254
b'\xce\x96]\xca',14236
b'+\x8b`\r',14230
b'~)xE',14193
"b""\x82'\xf4j""",14184
b'jT&\x93',14022
b'+\x1aq\xaf',13985
"b""\x80'\xcd\xfa""",13919
b'\xb7\xe4_\xb8',13892
b'r\x02\x14\x91',13879
b'\x80-\xe5d',13878
b'\xb7\xacu\x9e',13875
b'm\x93\x08\xe6',13861
b'u}QR',13780
b'\xb8b\xb6\xa7',13757
b'K@>o',13730
b'+\x8bb\x8b',13711
b'c9\xbbO',13706
b'd\xa2\x1d<',13703
b'+\x8b`\x15',13682
b'\x99\xc1\r\xe0',13664
"b""jT'\x05""",13563
b'\xcf\x88\xbe\x94',13463
b'\xd2\x16\xf9\x7f',13455
b'\x1cG\x8a\xc4',13414
b'\x80-!\x1e',13410
b'z\x00\x10\x86',13358
b'w\xe0\xfcR',13354
"b'\x82\x0b,\x9c'",13290
b'\xb7\xd8\x8f\x91',13282
b'p\x97\xa1\x0e',13252
b'\x8209\x87',13203
b'm\x93\x08\xe8',13130
b'\x82\x05\x1a\xea',13109
b'm\x93\x08V',13072
b'\xd4\xf3k\xc7',13009
b'h\xb5HJ',12946
b'A\xa2\x8b+',12889
b'\x0c<\x96\xf5',12867
b'\x99\xc1\r\xe2',12863
b'\xa9\xaf\xea_',12835
b'c9\xbbh',12789
b'p\x97\xa1-',12786
b'p\x97\xa1\x81',12722
b'~)xk',12691
b'l\x0e\x92\xf8',12652
b'\x05\xfb\x16\xf7',12601
b'lw\x05b',12536
b'+\x93\xff]',12475
b'\xd4\xf3d\xb4',12441
b'w\xfa\x1d\xcf',12391
b'\xdc\x1b\x85#',12365
b'uV\x85L',12353
