Element,Count
b'_\xa3\x93N',4369
b'~M\x87g',4356
b'\xd2\x1d\r&',4349
b'uY\xcc7',4346
b'\xd8\xf18\xf4',4346
b'\xdc\x1bP\xe3',4344
b'C\xcf\xac\x7f',4337
b'A\x8fm|',4335
b'\x01`\x92U',4327
b'\xdd\xf1\xe0\xc0',4315
b'\x99\xc1\x8f\x17',4311
b'I\x00\x84\xa9',4309
b'\x95\xd6\x98\x93',4300
b'\x89!\xf2\xe0',4298
"b'L\x10,\x94'",4297
b'\xc9\x85|\x81',4291
b'\xcf\x9ep\x0e',4290
b'K \x135',4290
b'p\xe6a\xb4',4290
b'\x99\xc1\xe9\xa7',4289
b'\xd2\x1dX\x8c',4281
b'\x99\xc1\x8f\x05',4273
b'h\x80\x00\x04',4264
b'\xd2\x1d\r\xb1',4254
b'p\xe6`\xb8',4248
b'p\x89\xfe\x81',4242
b'~)x|',4238
b'\x0c\xef\xacy',4231
b'\x01l|\xb1',4229
b'Ni\x91\xf8',4226
b'f\x06\x98\x82',4226
b'\x86\xef\xca-',4216
b'\xc6\xcb\xfa\xa3',4200
b'\x8c\xfc$F',4196
b'U\xa4\x89\xed',4189
b'uv\x92\x91',4186
b'\xb7\xc7K@',4181
b'\x0fS\xe8\xe5',4180
b'lw\x1f\xcf',4177
"b""'\x08<\x08""",4172
b'z\n\x13\x1b',4171
b'pS\x98\xed',4170
b'\xb7\xbe\xe9\xcd',4166
b'e\x10:\xe3',4162
b'C\xcf\xac\xf9',4160
b'I\xf0\xbe\x92',4156
b'o%\xfaq',4152
b'~LG\xa3',4147
b'\xcf\x81\xc8\xfa',4141
b'lw\x07E',4139
b'\x99\xc1\x8f%',4138
b'\x80&n\xce',4137
b'lw\x0e\xf5',4137
b'+\x99v\x88',4130
b'\x96l\xd8\xe3',4120
b'\xdc{\x1d\xd1',4111
b'u|E\xd2',4111
b'sY\xe5\xb0',4104
b'\x01l|\xf7',4091
b'\x80*\x18\xe6',4087
b'\x80\n6\xe2',4083
b'{\xed\x80\xce',4066
b'+\x13\x0f\x97',4066
b'pc\xcd*',4065
b'\xd4\xee\x8c\xf5',4057
b'\xad\\T\t',4056
b'lw\x05q',4055
b'w\xa9\xcc\xf6',4053
b'\xcf\x98\xe1s',4045
b'lw\x1f\xa5',4033
b'\x0fS\xe8\xdc',4030
b'pc\xfe\x9e',4028
b'\xd2\xdc\xa4\x0b',4015
b'p]J\xd8',4014
b'\x92\x9ec\t',3999
b'1\xaf\xb4q',3995
b'\xb7\xb3j\xc1',3989
b'\xd2\x1d9\xfb',3984
b'\xcf\x82\x17v',3980
b'v\x15\x8c\x9c',3976
b'\xcc\xc5c\x19',3975
b'\xdc\x1bT\x1b',3975
b'\x9dq\x17\x97',3974
b'A\xdf\x16\x15',3969
b'k\x1dm+',3962
b'V\xbc?>',3960
b'h?\x10\xe4',3958
b'\x01l}\x8e',3957
b'\x0c$/}',3952
b'lw\x05g',3939
b'v\n\xfc\x9a',3914
b'I\x00\xe9\xec',3912
b'\xd6Q\x1c\xf1',3901
b'w\xf0\xa2\xe9',3898
b'\xc5#)}',3893
b'\r\xe0\x06.',3881
b'\x92N\xa9\xc2',3874
b'\x0fS\xe8\xd7',3872
b'\xcc\xc4\x92\x94',3871
b'\x9d\r\xaa\x1b',3870
b'~)xh',3862
b'@_#\xe9',3848
b'lw\x01\xf5',3845
b'{\xea\xa6\x86',3830
b'k\xd0d\xe1',3828
b'++/\xee',3825
b'lw\x0e\xd5',3816
b'2\x96\x8a?',3814
b'lw\x05l',3804
b'o%\xf9\x1d',3801
"b""\x80'\xb7\xb2""",3799
b'\x99\xc1\x881',3790
b'\xcf\x88T\x92',3788
b'\nH*~',3780
b'l\x16y\x81',3779
b'\x80\x16K\x12',3776
b'\xcf\xa9\x16 ',3759
"b'\x99\xc1,\x9b'",3758
b'\xb1\xba\x1b\x96',3756
b'\xc9W\xf4\x08',3754
b'E\x16\xd7\xb1',3752
b'\x99\xc1\xba>',3751
b'~gT\x16',3747
b'f\x1c\xf9K',3731
b'\xd2\xee\xcf\xab',3722
b'~g\xfe\xbf',3711
b'ut\x93\xd8',3709
b'lw\x0e\xd4',3705
b'z\n\x19H',3694
b'lw\x01\xec',3693
b'\x99\xc1\x88\r',3686
b'N`\xd7\xb0',3678
b'\xcf\x8axb',3666
b'\xc6rE\xf6',3665
b'u\xb6\x10\x10',3662
b'lw\x1f\xe3',3662
b'++/\xe2',3654
b'\x01`\\\xc6',3633
b'\xcf\x82\x15\xc3',3620
b'\x82\x11\x18?',3616
b'\x80-)\xf3',3616
b'c\x8bM\x19',3614
b'\x9f\xe7\xe3N',3605
b'\x01l|\xc4',3599
"b""\x803['""",3597
b'\nLl>',3590
b'\xb7\xcc\xc9[',3580
b'\x99\xc1\x88P',3574
b'q\xc7\xae]',3574
b'I\x00\xe1E',3570
b'2\xff\x97J',3560
b'w\xed\x0f\x9c',3551
b'\xc6C\xe1(',3545
b'\x80-v\xc7',3543
b'\x01l$\xf0',3540
b'\x99\xc1\x88\\',3539
b'\xc5\x16\x7f.',3536
b'\x01l|\xde',3535
b'\x1cIU\x95',3535
b'\xd8x\x06\xb3',3525
b'u\xb6\x10\x12',3520
b'v&\xf4/',3514
b'lw\x050',3509
b'C\xc9v\xfc',3503
b'++/\xed',3501
b'\x80\x11\xf0!',3498
b'l+\xce\xdd',3492
b'\x01`_6',3488
b'\x01l$\xc6',3487
b'r\x12)\xe3',3486
b'\x82\x1a\xfe\x0f',3485
b'1\x19\xfc\x0b',3477
b'x\xb2S\x04',3467
b'\xb7\xa7$9',3459
b'\xc9F\xcf\x8e',3455
b'\xa3\xc3\x17G',3454
