Element,Count
"b'\x82,X\xab\xd2\x96+\xfc\xe0\x06\x00P\x06'",20628
b'\xb7\xc8\r\xce\xf3e+\xfc\xe1\x1b\x00P\x06',20159
b'\x84h\xb1\x11s\x08f\x00\xf0\xa99A\x11',19489
b'9\x08\xd0\xf1\x1a\xe1o\xcd\xe4\xc2V\x9d\x11',19429
b'l\x10\xae\xe1R\xcb\x01`\xa6\xc7\x01\xbb\x06',19251
b'\x82.\xc0\xc3\xd1\xf1+\xfc\xe0\x9b\x00P\x06',19064
b'\x827\xb8u\xec\x0c+\xfc\xe1j\x00P\x06',18975
b'\xd2\x1e\xbek\x01\xbb+\xfc\xe0\x1e\x82\xf9\x06',18790
b'\x92\xc1\x17\xca\x90\xb6o\xcd\x19\xda\xa1\x06\x11',18761
b'uFe \xe3:+\xfc\xe1\x1b\x00P\x06',18705
b'\xb7\xa7\x05\x8b\xc3\xf5+\xfc\xe1\x08\x00P\x06',18657
"b'\x89\xa0\x02\xb7\x00P\x99\xc1u""\xa1>\x06'",18600
"b'sY\xa4\x84\x80\xee\x01`\xb9,\x01\xbb\x06'",18597
b'\xd2\x1e\xbeu\x01\xbb+\xfc\xe0.\x92\xd5\x06',18450
b'\x9b\xbc<\xeb\x14\xfa+\xfc\xe2\x1b\x00P\x06',18448
b'w\xa9f\xaa\xd1\x8d+\xfc\xe2\x07\x00P\x06',18435
b'\x0c+\x188\xc2\xc2+\xfc\xe1P\x00P\x06',18372
b'\xd2\x94\xc5\xfa\xe7\xdd\x9d1\x1f\xd5\x01\xbb\x06',18214
b'\xc7\xe8~\x1c\x94!\x99\xc1/\xc7\x00P\x06',18202
b'\x99\xc1\x86\x02\x01\xbb+\xfc\xe0\x16\xb9\xa8\x06',18085
b'\xb7\x9d*\xf5\xe9\xeb+\xfc\xe1\x1b\x00P\x06',18015
b'\x82\x08\x1f\xfe\xdd\xbd+\xfc\xe0\x9b\x00P\x06',17823
b'\x01`[1\x00PI2\x83j\xdek\x06',17816
"b""'\xd8\xbaK\xbd\xbbo\xcd\xe4Z\x9c\xcb\x11""",17645
b'\xcf\x98 L\xdc\xb4\x01`\xa7\x1a\x01\xbb\x06',17551
b'\x92\x0f8t\xb1`\x01`\x8e[\x00P\x06',17443
b'~b0\x96\xf2F+\xfc\xe2\x07\x00P\x06',17436
